"Buffer","Model","AUC","Threshold","Sensitivity","Specificity","Accuracy","Kappa","TSS","N","Presences","Absences","Iteration","Seed"
"2km","GLM",0.687,0.433,0.366,0.914,0.786,0.318,0.28,1493,347,1146,1,1001
"2km","Random forest",0.831,0.205,0.81,0.71,0.733,0.41,0.52,1493,347,1146,1,1001
"2km","GLM",0.654,0.304,0.452,0.795,0.715,0.237,0.247,1493,347,1146,2,1002
"2km","Random forest",0.764,0.221,0.695,0.75,0.737,0.376,0.444,1493,347,1146,2,1002
"2km","GLM",0.675,0.355,0.401,0.869,0.76,0.286,0.27,1493,347,1146,3,1003
"2km","Random forest",0.8,0.163,0.839,0.603,0.658,0.315,0.442,1493,347,1146,3,1003
"2km","GLM",0.663,0.347,0.412,0.854,0.752,0.277,0.266,1493,347,1146,4,1004
"2km","Random forest",0.778,0.161,0.795,0.603,0.648,0.287,0.398,1493,347,1146,4,1004
"2km","GLM",0.666,0.353,0.383,0.876,0.762,0.28,0.259,1493,347,1146,5,1005
"2km","Random forest",0.764,0.215,0.677,0.74,0.725,0.352,0.417,1493,347,1146,5,1005
"2km","GLM",0.662,0.194,0.64,0.632,0.634,0.209,0.272,1493,347,1146,6,1006
"2km","Random forest",0.739,0.287,0.51,0.85,0.771,0.359,0.36,1493,347,1146,6,1006
"2km","GLM",0.684,0.289,0.524,0.784,0.723,0.284,0.308,1493,347,1146,7,1007
"2km","Random forest",0.8,0.245,0.677,0.785,0.76,0.408,0.463,1493,347,1146,7,1007
"2km","GLM",0.683,0.179,0.703,0.58,0.609,0.205,0.283,1493,347,1146,8,1008
"2km","Random forest",0.808,0.179,0.798,0.647,0.683,0.334,0.446,1493,347,1146,8,1008
"2km","GLM",0.659,0.398,0.392,0.873,0.761,0.283,0.265,1493,347,1146,9,1009
"2km","Random forest",0.784,0.199,0.749,0.674,0.691,0.328,0.423,1493,347,1146,9,1009
"2km","GLM",0.647,0.323,0.418,0.855,0.754,0.283,0.273,1493,347,1146,10,1010
"2km","Random forest",0.782,0.217,0.715,0.701,0.704,0.334,0.415,1493,347,1146,10,1010
"5km","GLM",0.672,0.219,0.582,0.684,0.66,0.219,0.266,1490,347,1143,1,1001
"5km","Random forest",0.83,0.201,0.818,0.692,0.721,0.396,0.51,1490,347,1143,1,1001
"5km","GLM",0.639,0.201,0.597,0.624,0.617,0.171,0.22,1490,347,1143,2,1002
"5km","Random forest",0.763,0.217,0.686,0.752,0.736,0.372,0.437,1490,347,1143,2,1002
"5km","GLM",0.665,0.354,0.38,0.874,0.759,0.274,0.254,1490,347,1143,3,1003
"5km","Random forest",0.808,0.167,0.853,0.605,0.662,0.326,0.458,1490,347,1143,3,1003
"5km","GLM",0.649,0.326,0.432,0.822,0.732,0.253,0.255,1490,347,1143,4,1004
"5km","Random forest",0.791,0.171,0.795,0.626,0.666,0.311,0.422,1490,347,1143,4,1004
"5km","GLM",0.657,0.334,0.403,0.853,0.748,0.267,0.256,1490,347,1143,5,1005
"5km","Random forest",0.78,0.211,0.683,0.741,0.728,0.357,0.424,1490,347,1143,5,1005
"5km","GLM",0.655,0.184,0.66,0.612,0.623,0.205,0.272,1490,347,1143,6,1006
"5km","Random forest",0.75,0.341,0.478,0.921,0.818,0.44,0.4,1490,347,1143,6,1006
"5km","GLM",0.676,0.26,0.55,0.724,0.683,0.236,0.274,1490,347,1143,7,1007
"5km","Random forest",0.806,0.191,0.775,0.691,0.711,0.366,0.466,1490,347,1143,7,1007
"5km","GLM",0.674,0.186,0.677,0.598,0.617,0.204,0.276,1490,347,1143,8,1008
"5km","Random forest",0.807,0.209,0.735,0.71,0.715,0.358,0.444,1490,347,1143,8,1008
"5km","GLM",0.656,0.384,0.389,0.857,0.748,0.259,0.246,1490,347,1143,9,1009
"5km","Random forest",0.783,0.225,0.695,0.717,0.711,0.337,0.411,1490,347,1143,9,1009
"5km","GLM",0.638,0.352,0.372,0.875,0.758,0.267,0.247,1490,347,1143,10,1010
"5km","Random forest",0.778,0.295,0.582,0.834,0.775,0.398,0.416,1490,347,1143,10,1010
"10km","GLM",0.679,0.227,0.574,0.713,0.681,0.243,0.288,1484,343,1141,1,1001
"10km","Random forest",0.833,0.177,0.872,0.642,0.695,0.374,0.513,1484,343,1141,1,1001
"10km","GLM",0.649,0.251,0.534,0.72,0.677,0.218,0.253,1484,343,1141,2,1002
"10km","Random forest",0.763,0.244,0.647,0.799,0.764,0.402,0.447,1484,343,1141,2,1002
"10km","GLM",0.675,0.331,0.429,0.837,0.743,0.268,0.266,1484,343,1141,3,1003
"10km","Random forest",0.814,0.255,0.641,0.81,0.771,0.412,0.451,1484,343,1141,3,1003
"10km","GLM",0.66,0.355,0.417,0.868,0.763,0.3,0.285,1484,343,1141,4,1004
"10km","Random forest",0.796,0.203,0.717,0.713,0.714,0.349,0.431,1484,343,1141,4,1004
"10km","GLM",0.667,0.393,0.356,0.918,0.788,0.315,0.274,1484,343,1141,5,1005
"10km","Random forest",0.78,0.265,0.589,0.85,0.79,0.426,0.439,1484,343,1141,5,1005
"10km","GLM",0.665,0.276,0.519,0.77,0.712,0.263,0.289,1484,343,1141,6,1006
"10km","Random forest",0.753,0.301,0.536,0.885,0.805,0.434,0.422,1484,343,1141,6,1006
"10km","GLM",0.683,0.314,0.487,0.819,0.743,0.297,0.306,1484,343,1141,7,1007
"10km","Random forest",0.812,0.193,0.781,0.687,0.709,0.364,0.468,1484,343,1141,7,1007
"10km","GLM",0.687,0.198,0.662,0.628,0.635,0.22,0.289,1484,343,1141,8,1008
"10km","Random forest",0.809,0.225,0.708,0.746,0.737,0.381,0.454,1484,343,1141,8,1008
"10km","GLM",0.667,0.214,0.615,0.651,0.643,0.21,0.266,1484,343,1141,9,1009
"10km","Random forest",0.792,0.265,0.633,0.794,0.757,0.384,0.427,1484,343,1141,9,1009
"10km","GLM",0.649,0.299,0.455,0.826,0.74,0.277,0.28,1484,343,1141,10,1010
"10km","Random forest",0.789,0.273,0.612,0.815,0.768,0.396,0.427,1484,343,1141,10,1010
"15km","GLM",0.681,0.414,0.383,0.894,0.777,0.305,0.277,1472,337,1135,1,1001
"15km","Random forest",0.824,0.213,0.801,0.718,0.737,0.411,0.519,1472,337,1135,1,1001
"15km","GLM",0.653,0.275,0.507,0.752,0.696,0.232,0.26,1472,337,1135,2,1002
"15km","Random forest",0.761,0.263,0.602,0.819,0.769,0.391,0.421,1472,337,1135,2,1002
"15km","GLM",0.679,0.331,0.433,0.854,0.757,0.295,0.287,1472,337,1135,3,1003
"15km","Random forest",0.81,0.195,0.769,0.692,0.709,0.358,0.46,1472,337,1135,3,1003
"15km","GLM",0.656,0.333,0.433,0.841,0.747,0.277,0.274,1472,337,1135,4,1004
"15km","Random forest",0.782,0.155,0.801,0.607,0.651,0.293,0.408,1472,337,1135,4,1004
"15km","GLM",0.67,0.366,0.392,0.896,0.781,0.316,0.288,1472,337,1135,5,1005
"15km","Random forest",0.77,0.199,0.685,0.721,0.713,0.333,0.406,1472,337,1135,5,1005
"15km","GLM",0.661,0.395,0.392,0.893,0.779,0.312,0.285,1472,337,1135,6,1006
"15km","Random forest",0.737,0.303,0.504,0.876,0.791,0.391,0.38,1472,337,1135,6,1006
"15km","GLM",0.68,0.217,0.623,0.67,0.659,0.233,0.293,1472,337,1135,7,1007
"15km","Random forest",0.792,0.261,0.614,0.826,0.778,0.412,0.441,1472,337,1135,7,1007
"15km","GLM",0.681,0.212,0.626,0.66,0.652,0.225,0.286,1472,337,1135,8,1008
"15km","Random forest",0.809,0.179,0.807,0.656,0.69,0.345,0.463,1472,337,1135,8,1008
"15km","GLM",0.656,0.362,0.442,0.823,0.736,0.261,0.265,1472,337,1135,9,1009
"15km","Random forest",0.79,0.201,0.748,0.688,0.702,0.34,0.436,1472,337,1135,9,1009
"15km","GLM",0.649,0.285,0.46,0.804,0.725,0.253,0.263,1472,337,1135,10,1010
"15km","Random forest",0.788,0.277,0.605,0.817,0.768,0.391,0.422,1472,337,1135,10,1010
"20km","GLM",0.684,0.164,0.657,0.616,0.625,0.204,0.273,1462,335,1127,1,1001
"20km","Random forest",0.823,0.169,0.893,0.609,0.674,0.352,0.501,1462,335,1127,1,1001
"20km","GLM",0.652,0.197,0.612,0.646,0.638,0.201,0.258,1462,335,1127,2,1002
"20km","Random forest",0.756,0.223,0.669,0.753,0.734,0.359,0.422,1462,335,1127,2,1002
"20km","GLM",0.687,0.275,0.501,0.783,0.718,0.263,0.284,1462,335,1127,3,1003
"20km","Random forest",0.796,0.171,0.797,0.605,0.649,0.288,0.402,1462,335,1127,3,1003
"20km","GLM",0.661,0.35,0.421,0.861,0.76,0.293,0.282,1462,335,1127,4,1004
"20km","Random forest",0.786,0.173,0.77,0.649,0.676,0.314,0.419,1462,335,1127,4,1004
"20km","GLM",0.681,0.338,0.421,0.87,0.767,0.307,0.291,1462,335,1127,5,1005
"20km","Random forest",0.762,0.341,0.484,0.913,0.815,0.43,0.397,1462,335,1127,5,1005
"20km","GLM",0.672,0.312,0.463,0.821,0.739,0.277,0.283,1462,335,1127,6,1006
"20km","Random forest",0.73,0.237,0.609,0.765,0.729,0.328,0.374,1462,335,1127,6,1006
"20km","GLM",0.691,0.302,0.49,0.813,0.739,0.29,0.302,1462,335,1127,7,1007
"20km","Random forest",0.798,0.233,0.684,0.763,0.745,0.382,0.447,1462,335,1127,7,1007
"20km","GLM",0.69,0.178,0.704,0.584,0.611,0.208,0.288,1462,335,1127,8,1008
"20km","Random forest",0.795,0.217,0.696,0.716,0.711,0.335,0.412,1462,335,1127,8,1008
"20km","GLM",0.673,0.358,0.436,0.839,0.746,0.276,0.274,1462,335,1127,9,1009
"20km","Random forest",0.775,0.307,0.564,0.848,0.783,0.402,0.412,1462,335,1127,9,1009
"20km","GLM",0.66,0.338,0.403,0.886,0.775,0.312,0.289,1462,335,1127,10,1010
"20km","Random forest",0.768,0.319,0.546,0.858,0.787,0.401,0.404,1462,335,1127,10,1010
"25km","GLM",0.688,0.439,0.364,0.921,0.792,0.327,0.285,1455,335,1120,1,1001
"25km","Random forest",0.831,0.201,0.821,0.696,0.725,0.4,0.517,1455,335,1120,1,1001
"25km","GLM",0.653,0.198,0.612,0.65,0.641,0.206,0.262,1455,335,1120,2,1002
"25km","Random forest",0.772,0.179,0.749,0.66,0.68,0.312,0.409,1455,335,1120,2,1002
"25km","GLM",0.683,0.285,0.487,0.793,0.722,0.263,0.279,1455,335,1120,3,1003
"25km","Random forest",0.818,0.189,0.809,0.656,0.691,0.348,0.465,1455,335,1120,3,1003
"25km","GLM",0.661,0.277,0.501,0.771,0.709,0.25,0.273,1455,335,1120,4,1004
"25km","Random forest",0.789,0.165,0.791,0.637,0.672,0.316,0.428,1455,335,1120,4,1004
"25km","GLM",0.673,0.357,0.406,0.885,0.775,0.314,0.291,1455,335,1120,5,1005
"25km","Random forest",0.771,0.175,0.743,0.671,0.687,0.319,0.414,1455,335,1120,5,1005
"25km","GLM",0.663,0.394,0.385,0.88,0.766,0.287,0.265,1455,335,1120,6,1006
"25km","Random forest",0.736,0.351,0.466,0.922,0.817,0.429,0.388,1455,335,1120,6,1006
"25km","GLM",0.685,0.356,0.439,0.859,0.762,0.307,0.298,1455,335,1120,7,1007
"25km","Random forest",0.812,0.249,0.666,0.798,0.768,0.414,0.464,1455,335,1120,7,1007
"25km","GLM",0.687,0.387,0.43,0.867,0.766,0.31,0.297,1455,335,1120,8,1008
"25km","Random forest",0.818,0.193,0.788,0.687,0.71,0.367,0.475,1455,335,1120,8,1008
"25km","GLM",0.659,0.344,0.448,0.808,0.725,0.248,0.256,1455,335,1120,9,1009
"25km","Random forest",0.792,0.187,0.767,0.649,0.676,0.313,0.416,1455,335,1120,9,1009
"25km","GLM",0.654,0.362,0.382,0.888,0.772,0.296,0.27,1455,335,1120,10,1010
"25km","Random forest",0.784,0.291,0.591,0.832,0.777,0.402,0.423,1455,335,1120,10,1010
